index,pos,x,y,height
0,0.0,200990.0,2632930.0,36.03217697143555
1,4232.782104868002,197890.84271247464,2632990.0,29.08527374267578
2,8465.564209736003,195394.2842712475,2633910.0,25.405363082885742
3,12698.346314604005,193770.8629150102,2635590.0,23.065662384033203
4,16931.128419472006,190532.29437251526,2636210.0,19.042726516723633
5,21163.910524340008,187910.29437251532,2636030.0,14.0051908493042
6,25396.69262920801,185031.72583002047,2635850.0,11.967000007629395
7,29629.474734076008,182942.9146468381,2635982.914646838,9.14991569519043
8,33862.25683894401,180003.46176130866,2636250.0,6.904300689697266
9,38095.03894381202,177046.31457505093,2636730.0,2.7440202236175537
10,42327.821048680016,173690.0,2636410.0,0.43224260210990906
